Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
,,,,,,,R. Inferior frontal gyrus parstriangularis,50,3.59
,3,1173,5.19,65,83,41,,,
,,,,,,,L. Frontal pole,755,5.19
,,,,,,,L. Medial frontal gyrus,100,4.04
,,,,,,,L. Inferior frontal gyrus parstriangularis,49,4.35
,4,732,5.28,72,33,36,,,
,,,,,,,L. Lateral occipital cortex inferior,317,5.09
,,,,,,,L. Medial temporal gyrus temporo-occipital,251,5.28
,,,,,,,L. Inferior temporal gyrus temporo-occipital,30,3.92
,5,208,4.22,69,43,27,,,
,,,,,,,L. Inferior temporal gyrus posterior,105,4.22
,,,,,,,L. Inferior temporal gyrus temporo-occipital,51,3.84
