Contrast,cluster,k cluster,max cluster,x,y,z,Region,k region,max region
,6,588,4.57,47,52,50,,,
,,,,,,,L. Posterior cingulate cortex,171,4.57
,,,,,,,R. Posterior cingulate cortex,134,4.23
,,,,,,,L. Anterior cingulate cortex,37,4.21
,,,,,,,R. Anterior cingulate cortex,31,3.79
,7,374,4.74,56,80,30,,,
,,,,,,,L. Frontal pole,250,4.70
,,,,,,,L. Orbitofrontal cortex,101,4.74
,8,292,3.73,46,77,60,,,
,,,,,,,L. Paracingulate gyrus,136,3.72
,,,,,,,L. Superior frontal gyrus,73,3.73
,,,,,,,R. Paracingulate gyrus,50,3.07
,9,291,4.46,58,63,66,,,
,,,,,,,L. Superior frontal gyrus,159,4.46
,,,,,,,L. Medial frontal gyrus,65,4.25
,,,,,,,,,
Sit > int,1,35832,5.72,71,60,28,,,
,,,,,,,R. Lateral occipital cortex superior,2570,5.68
,,,,,,,L. Lateral occitipal cortex superior,1769,5.32
,,,,,,,R. Lingual gyrus,1574,5.05
,,,,,,,L. Lingual gyrus,1412,4.97
,,,,,,,R. Lateral occipital cortex inferior,1304,5.55
,,,,,,,R. Precuneous,1263,5.02
,,,,,,,L. Precuneous,1258,4.83
,,,,,,,L. Lateral occipital cortex inferior,1059,4.68
,,,,,,,L. Occipital fusiform,978,4.84
,,,,,,,R. Temporo-occipital fusiform,930,5.05
,,,,,,,L. Temporal pole,895,5.29
,,,,,,,R. Occipital pole,885,5.02
,,,,,,,R. Occipital fusiform,870,4.50
,,,,,,,L. Occipital pole,840,4.84
,,,,,,,R. Angular gyrus,794,5.29
,,,,,,,R. Temporal pole,777,4.75
,,,,,,,R. Intracalcarine cortex,771,4.88
,,,,,,,L. Temporo-occipital fusiform,690,4.95
,,,,,,,L. Intracalcarine cortex,686,5.12
,,,,,,,L. Superior temporal gyrus posterior,662,5.37
,,,,,,,L. Angular gyrus,631,5.64
,,,,,,,L. Medial temporal gyrus posterior,470,5.32
,,,,,,,L. Posterior cingulate cortex,442,4.78
,,,,,,,R. Temporal fusiform posterior,418,5.34
,,,,,,,L. Medial temporal gyrus anterior,412,5.72
,,,,,,,L. Temporal fusiform posterior,379,5.04
,,,,,,,R. Medial temporal gyrus posterior,368,5.51
,,,,,,,R. Posterior cingulate cortex,365,4.70
,,,,,,,R. Hippocampus,352,3.74
,,,,,,,R. Superior temporal gyrus posterior,334,5.60
,,,,,,,R. Cuneal cortex,325,4.62
,,,,,,,R. Inferior temporal gyrus temporo-occipital,305,4.37
,,,,,,,R. Medial temporal gyrus temporo-occipital,271,5.07
,,,,,,,L. Parahippocampal gyrus posterior,266,5.04
