	Contrast	cluster	k cluster	max cluster	x	y	z	Region	k region	max region
19								L. Angular gyrus	762	5.6424336433410645
20								L. Medial temporal gyrus posterior	597	5.4177961349487305
21								L. Posterior cingulate cortex	518	4.784164905548096
22								L. Medial temporal gyrus anterior	507	5.716883659362793
23								R. Temporal fusiform posterior	482	5.342084884643555
24								R. Posterior cingulate cortex	453	4.79886531829834
25								L. Temporal fusiform posterior	440	5.040555000305176
26								R. Medial temporal gyrus posterior	433	5.602921485900879
27								R. Superior temporal gyrus posterior	416	5.602921485900879
28								R. Cuneal cortex	414	4.898669719696045
29								R. Inferior temporal gyrus temporo-occipital	385	4.434872150421143
30								R. Hippocampus	385	3.7369890213012695
31								R. Medial temporal gyrus temporo-occipital	358	5.065887451171875
32								R. Medial temporal gyrus anterior	334	5.700831890106201
33								L. Parahippocampal gyrus posterior	314	5.040555000305176
34								R. Parahippocampal gyrus posterior	295	5.342084884643555
35								R. Supramarginal gyrus posterior	292	4.915614604949951
36								L. Cuneal cortex	276	4.0913896560668945
37								L. Supracalcarine cortex	268	4.482946395874023
38								R. Supracalcarine cortex	267	4.344885349273682
39								L. Superior temporal gyrus anterior	257	5.716883659362793
40								R. Amygdala	236	3.913599729537964
41								R. Superior temporal gyrus anterior	229	5.700831890106201
42								L. Supramarginal gyrus posterior	216	5.076152801513672
43								R. Parahippocampal gyrus anterior	136	4.300090789794922
44								L. Medial temporal gyrus temporo-occipital	89	4.02776575088501
45								L. Inferior temporal gyrus anterior	68	3.827059268951416
46								R. Inferior temporal gyrus posterior	65	4.1701178550720215
47								L. Inferior temporal gyrus temporo-occipital	53	3.6561734676361084
48								R. Thalamus	38	3.1449475288391113
49								L. Orbitofrontal cortex	31	3.0542967319488525
50								R. Putamen	23	3.10121750831604
51										
0		2.0	1148	4.281789302825928	-10	52	44	L. Frontal pole	504	4.281789302825928
0								R. Frontal pole	197	3.4419305324554443
1								L. Superior frontal gyrus	167	3.8293256759643555
2								L. Paracingulate gyrus	25	3.523371458053589
3								R. Superior frontal gyrus	24	3.0113232135772705
4										
0		3.0	656	4.785889625549316	-2	66	-10	L. Frontal pole	329	4.785889625549316
0								R. Frontal pole	212	4.411367893218994
1								L. Frontal medial cortex	76	3.8636815547943115
2								R. Frontal medial cortex	55	3.8343746662139893
3										
0		4.0	340	3.483877182006836	-24	-16	-18	L. Hippocampus	198	3.483877182006836
0								L. Amygdala	189	3.2959752082824707
1								L. Parahippocampal gyrus anterior	21	3.1335630416870117
2										
0		5.0	260	4.412920951843262	6	-54	-46	L. Lingual gyrus	0	0
0										
0		6.0	235	3.657013177871704	-54	-8	42	L. Precentral gyrus	191	3.657013177871704
0								L. Postcentral gyrus	54	3.657013177871704
1								L. Medial frontal gyrus	30	3.49109148979187
2										
