	Contrast	cluster	k cluster	max cluster	x	y	z	Region	k region	max region
0		4.0	732	5.278594970703125	-54	-60	0	L. Lateral occipital cortex inferior	379	5.087893962860107
0								L. Medial temporal gyrus temporo-occipital	333	5.278594970703125
1								L. Inferior temporal gyrus temporo-occipital	44	3.9622044563293457
2										
0		5.0	208	4.224300861358643	-48	-40	-18	L. Inferior temporal gyrus posterior	127	4.224300861358643
0								L. Inferior temporal gyrus temporo-occipital	64	3.858719825744629
1										
0		6.0	63	3.309007167816162	28	-20	34	L. Lingual gyrus	0	0
0										
0	sit>int	1.0	9521	6.215005397796631	-54	-6	-22	L. Lateral occipital cortex superior	1517	4.856032371520996
0								L. Temporal pole	1429	5.933828353881836
1								L. Medial temporal gyrus posterior	1094	5.897044658660889
2								L. Superior temporal gyrus posterior	812	5.897044658660889
3								L. Orbitofrontal cortex	760	5.169254302978516
4								L. Angular gyrus	693	4.870615482330322
5								L. Medial temporal gyrus anterior	614	6.215005397796631
6								L. Inferior frontal gyrus parstriangularis	306	4.405243873596191
7								L. Inferior temporal gyrus anterior	266	4.665673732757568
8								L. Occipital pole	241	4.041453838348389
9								L. Superior temporal gyrus anterior	208	5.886690616607666
10								L. Inferior frontal gyrus parsopercularis	169	4.388900279998779
11								L. Medial temporal gyrus temporo-occipital	137	3.51694917678833
12								L. Supramarginal gyrus posterior	118	4.088837623596191
13								L. Inferior temporal gyrus posterior	113	4.401858806610107
14								L. Frontal operculum	89	4.087793350219727
15								L. Frontal pole	46	3.382000684738159
16								L. Temporal fusiform anterior	41	4.443740367889404
17										
0		2.0	9264	4.775302410125732	-24	-46	-12	L. Lingual gyrus	1374	4.775302410125732
0								L. Precuneous	1217	4.496364593505859
1								R. Lingual gyrus	1193	4.287562370300293
2								R. Precuneous	990	4.504956245422363
3								R. Intracalcarine cortex	730	4.504956245422363
4								L. Intracalcarine cortex	687	4.244322299957275
5								R. Lateral occipital cortex superior	645	4.518815994262695
6								L. Posterior cingulate cortex	579	4.648459434509277
7								R. Posterior cingulate cortex	460	3.91972279548645
8								L. Temporo-occipital fusiform	439	4.775302410125732
9								L. Occipital fusiform	321	4.173098564147949
10								R. Temporo-occipital fusiform	287	4.266078948974609
11								L. Parahippocampal gyrus posterior	219	4.604787349700928
12								L. Temporal fusiform posterior	199	4.775302410125732
13								R. Parahippocampal gyrus posterior	197	4.229548454284668
14								R. Temporal fusiform posterior	135	4.116559982299805
15								R. Occipital fusiform	104	3.364765167236328
16								R. Occipital pole	96	4.096508502960205
17								L. Occipital pole	87	3.3949296474456787
18								R. Lateral occipital cortex inferior	84	3.5346133708953857
19								L. Supracalcarine cortex	79	3.511801242828369
20								L. Cuneal cortex	58	3.2509264945983887
21								L. Lateral occipital cortex inferior	58	3.411125659942627
22								R. Supracalcarine cortex	51	4.007021427154541
23								R. Cuneal cortex	40	3.8922574520111084
24										
0		3.0	7861	5.987183570861816	-8	46	50	R. Frontal pole	1726	5.083090305328369
0								L. Frontal pole	1692	5.987183570861816
1								L. Superior frontal gyrus	1239	5.130825042724609
2								R. Superior frontal gyrus	735	4.670505523681641
3								L. Paracingulate gyrus	386	4.762146949768066
4								L. Frontal medial cortex	257	4.681880950927734
5								R. Frontal medial cortex	157	4.681880950927734
6								R. Paracingulate gyrus	129	4.170967102050781
7								L. Supplementary motor area	89	4.309732437133789
8								R. Supplementary motor area	46	3.8036348819732666
9										
0		4.0	4025	5.1833577156066895	46	10	-28	R. Temporal pole	1164	5.1833577156066895
0								R. Medial temporal gyrus posterior	567	5.170937538146973
1								R. Medial temporal gyrus anterior	540	4.914721488952637
2								R. Orbitofrontal cortex	514	4.900606155395508
3								R. Superior temporal gyrus posterior	503	5.155910491943359
4								R. Inferior temporal gyrus anterior	288	5.144454479217529
5								R. Superior temporal gyrus anterior	224	4.99937629699707
6								R. Inferior temporal gyrus posterior	144	4.501042366027832
7								R. Frontal pole	64	3.3692939281463623
8								R. Insula	48	4.4993815422058105
9								R. Inferior frontal gyrus parstriangularis	47	3.338710069656372
10								R. Medial temporal gyrus temporo-occipital	25	3.388234853744507
11								R. Frontal operculum	23	3.50736665725708
12										
0		5.0	867	5.027862548828125	28	-84	-38	L. Lingual gyrus	0	0
0										
0		6.0	619	5.23744535446167	-44	6	52	L. Medial frontal gyrus	410	5.23744535446167
0								L. Precentral gyrus	88	4.930892467498779
1										
0		7.0	560	4.039496898651123	50	-50	24	R. Angular gyrus	389	4.039496898651123
0								R. Lateral occipital cortex superior	190	3.378321647644043
1										
0		8.0	397	4.6640625	2	-54	-46	L. Lingual gyrus	0	0
0										
0		9.0	381	4.390625476837158	-26	-10	-26	L. Hippocampus	297	4.390625476837158
0								L. Parahippocampal gyrus anterior	92	3.9785349369049072
1								L. Amygdala	44	3.905663013458252
2										
0		10.0	56	3.0938963890075684	52	-66	-36	L. Lingual gyrus	0	0
0										
0		11.0	20	3.4014720916748047	-22	-82	46	L. Lateral occipital cortex superior	19	3.4014720916748047
0										
